id	family	shape	projection	workloadIdentity	outcome	rowCount	digest	latencyNanos	hitGraphIds	inputSourceCount	resetMode	graphWorkUnits	filteredNodeLimitFastPathExecutions	generalFallbackExecutions
or-four-broad-rows-31	multi-keyword	or-four-broad-rows-31	properties	3489777e91cc6a682479d8656ba97b33b9af0613d36efea0348a00e8ce5c5abc	success	200	140b3076907f55b10242b5bc310882d929d3aa5e851f9a44e1998729856bd8ad	12044250	fixture-android-00	64	per-query-cold	1152827	1	0
or-four-broad-distinct-31	multi-keyword	or-four-broad-distinct-31	distinct-properties	586913a4fdb2e9a5cae57d17f3c17f148e9b5c4ed35d337d7fb97d9cb512a2bb	success	200	49cffd06880788859569587f8f77a604a22e71ac9a1df0c256c4a8ac5db7f0a8	104711458	fixture-android-00	64	per-query-cold	57697051	1	0
or-four-broad-rows-32	multi-keyword	or-four-broad-rows-32	properties	3489777e91cc6a682479d8656ba97b33b9af0613d36efea0348a00e8ce5c5abc	success	200	140b3076907f55b10242b5bc310882d929d3aa5e851f9a44e1998729856bd8ad	10927833	fixture-android-00	64	per-query-cold	1152827	1	0
or-four-broad-distinct-32	multi-keyword	or-four-broad-distinct-32	distinct-properties	586913a4fdb2e9a5cae57d17f3c17f148e9b5c4ed35d337d7fb97d9cb512a2bb	success	200	49cffd06880788859569587f8f77a604a22e71ac9a1df0c256c4a8ac5db7f0a8	104291250	fixture-android-00	64	per-query-cold	57697051	1	0
or-four-broad-rows-33	multi-keyword	or-four-broad-rows-33	properties	3489777e91cc6a682479d8656ba97b33b9af0613d36efea0348a00e8ce5c5abc	success	200	140b3076907f55b10242b5bc310882d929d3aa5e851f9a44e1998729856bd8ad	6211875	fixture-android-00	64	per-query-cold	1152827	1	0
or-four-broad-distinct-33	multi-keyword	or-four-broad-distinct-33	distinct-properties	586913a4fdb2e9a5cae57d17f3c17f148e9b5c4ed35d337d7fb97d9cb512a2bb	success	200	49cffd06880788859569587f8f77a604a22e71ac9a1df0c256c4a8ac5db7f0a8	105150208	fixture-android-00	64	per-query-cold	57697051	1	0
or-four-broad-rows-34	multi-keyword	or-four-broad-rows-34	properties	3489777e91cc6a682479d8656ba97b33b9af0613d36efea0348a00e8ce5c5abc	success	200	140b3076907f55b10242b5bc310882d929d3aa5e851f9a44e1998729856bd8ad	9426250	fixture-android-00	64	per-query-cold	1152827	1	0
or-four-broad-distinct-34	multi-keyword	or-four-broad-distinct-34	distinct-properties	586913a4fdb2e9a5cae57d17f3c17f148e9b5c4ed35d337d7fb97d9cb512a2bb	success	200	49cffd06880788859569587f8f77a604a22e71ac9a1df0c256c4a8ac5db7f0a8	78122041	fixture-android-00	64	per-query-cold	57697051	1	0
or-four-broad-rows-35	multi-keyword	or-four-broad-rows-35	properties	3489777e91cc6a682479d8656ba97b33b9af0613d36efea0348a00e8ce5c5abc	success	200	140b3076907f55b10242b5bc310882d929d3aa5e851f9a44e1998729856bd8ad	9749292	fixture-android-00	64	per-query-cold	1152827	1	0
or-four-broad-distinct-35	multi-keyword	or-four-broad-distinct-35	distinct-properties	586913a4fdb2e9a5cae57d17f3c17f148e9b5c4ed35d337d7fb97d9cb512a2bb	success	200	49cffd06880788859569587f8f77a604a22e71ac9a1df0c256c4a8ac5db7f0a8	78055708	fixture-android-00	64	per-query-cold	57697051	1	0
or-four-broad-rows-36	multi-keyword	or-four-broad-rows-36	properties	3489777e91cc6a682479d8656ba97b33b9af0613d36efea0348a00e8ce5c5abc	success	200	140b3076907f55b10242b5bc310882d929d3aa5e851f9a44e1998729856bd8ad	9369459	fixture-android-00	64	per-query-cold	1152827	1	0
or-four-broad-distinct-36	multi-keyword	or-four-broad-distinct-36	distinct-properties	586913a4fdb2e9a5cae57d17f3c17f148e9b5c4ed35d337d7fb97d9cb512a2bb	success	200	49cffd06880788859569587f8f77a604a22e71ac9a1df0c256c4a8ac5db7f0a8	79596125	fixture-android-00	64	per-query-cold	57697051	1	0
or-four-broad-rows-37	multi-keyword	or-four-broad-rows-37	properties	3489777e91cc6a682479d8656ba97b33b9af0613d36efea0348a00e8ce5c5abc	success	200	140b3076907f55b10242b5bc310882d929d3aa5e851f9a44e1998729856bd8ad	9808250	fixture-android-00	64	per-query-cold	1152827	1	0
or-four-broad-distinct-37	multi-keyword	or-four-broad-distinct-37	distinct-properties	586913a4fdb2e9a5cae57d17f3c17f148e9b5c4ed35d337d7fb97d9cb512a2bb	success	200	49cffd06880788859569587f8f77a604a22e71ac9a1df0c256c4a8ac5db7f0a8	78085125	fixture-android-00	64	per-query-cold	57697051	1	0
or-four-broad-rows-38	multi-keyword	or-four-broad-rows-38	properties	3489777e91cc6a682479d8656ba97b33b9af0613d36efea0348a00e8ce5c5abc	success	200	140b3076907f55b10242b5bc310882d929d3aa5e851f9a44e1998729856bd8ad	9357417	fixture-android-00	64	per-query-cold	1152827	1	0
or-four-broad-distinct-38	multi-keyword	or-four-broad-distinct-38	distinct-properties	586913a4fdb2e9a5cae57d17f3c17f148e9b5c4ed35d337d7fb97d9cb512a2bb	success	200	49cffd06880788859569587f8f77a604a22e71ac9a1df0c256c4a8ac5db7f0a8	65980625	fixture-android-00	64	per-query-cold	57697051	1	0
or-four-broad-rows-39	multi-keyword	or-four-broad-rows-39	properties	3489777e91cc6a682479d8656ba97b33b9af0613d36efea0348a00e8ce5c5abc	success	200	140b3076907f55b10242b5bc310882d929d3aa5e851f9a44e1998729856bd8ad	8457375	fixture-android-00	64	per-query-cold	1152827	1	0
or-four-broad-distinct-39	multi-keyword	or-four-broad-distinct-39	distinct-properties	586913a4fdb2e9a5cae57d17f3c17f148e9b5c4ed35d337d7fb97d9cb512a2bb	success	200	49cffd06880788859569587f8f77a604a22e71ac9a1df0c256c4a8ac5db7f0a8	76720708	fixture-android-00	64	per-query-cold	57697051	1	0
